Nombre,Categoria,Popularidad,Calificacion,Eps,PendienteTemporada,Emotional,Plataforma
"A Certain Magical Index, Railgun, Accelerator",Largas,-,-,163,-,-,X - Crunchyroll Todo Demas (Falta 2da temp Index y Railgun y Pelicula)
Black Clover,Largas,-,-,173,-,-,Crunchyroll
Bleach,Largas,-,-,406,X,-,Disney
Detective Conan,Largas,-,-,500,-,-,X - Crunchyroll e Ingles (Incompleto)
Diamond no Ace,Largas,-,-,178,-,-,Crunchyroll
Dragon Ball Z -> Activa Super y GT,Largas,-,-,291,-,-,Crunchyroll
Fairy Tail,Largas,-,-,353,-,-,X - Crunchyroll (Falta 1ra temp)
Fist of the North Star,Largas,-,-,152,-,-,Crunchyroll
Hajime no Ippo,Largas,-,-,151,-,X,Netflix (Descargar 2 Pelis)
InuYasha,Largas,-,-,193,-,-,Netflix
JoJo's Bizarre Adventure,Largas,-,-,190,X,-,Crunchyroll Netflix
Kingdom,Largas,-,-,155,-,-,Crunchyroll
Naruto,Largas,-,-,480,-,X,"Crunchyroll, Netflix"
Pokemon,Largas,-,-,179,-,-,X - Netflix (Solo Latino)
Reborn!,Largas,-,-,203,-,-,Crunchyroll
Sailor Moon (1992),Largas,-,-,200,-,-,X
Yu-Gi-Oh!,Largas,-,-,178,-,-,X - Crunchyroll (Solo Sub Ingles)
Zatch Bell!,Largas,-,-,150,-,-,X
Hunter x Hunter 2011,Repetir Mejores,-,-,148,-,-,"Crunchyroll, Netflix"
Vanitas,Repetir Mejores,-,-,24,-,-,Crunchyroll
Code Geass + Peliculas,Repetir Mejores,-,-,53,-,-,Crunchyroll
Death Note,Repetir Mejores,-,-,37,-,-,"Netflix, Max"
"Fate/Zero, UBW and Stay Night",Repetir Mejores,-,-,74,-,-,Crunchyroll (Stay no)
Violet Evergardeen,Repetir Mejores,-,-,16,-,X,Netflix
Fullmetal Alchemist: Brotherhood,Repetir Mejores,-,-,64,-,-,"Crunchyroll, Netflix"
Erased,Repetir Mejores,-,-,12,-,X,Crunchyroll
Parasyte,Repetir Mejores,-,-,24,-,-,Crunchyroll
Shingeki no Kyojin,Repetir Mejores,-,-,87,-,X,Crunchyroll
Arcane,Repetir Mejores,-,-,18,-,X,Netflix
Pluto,Adult Cartoon,-,-,8,-,X,Netflix
Samurai de ojos azules,Adult Cartoon,-,-,8,X,X,Netflix
Panteon,Adult Cartoon,-,-,16,-,X,Netflix
Common Side Effects,Adult Cartoon,-,-,10,-,-,MAX
Primal,Adult Cartoon,-,-,30,-,X,MAX
Castlevania + Nocturne,Adult Cartoon,-,-,16,-,-,Netflix
Devil May Cry,Adult Cartoon,-,-,16,X,-,Netflix
The Amazing Digital Circus,Adult Cartoon,-,-,9,-,-,Netflix
The Legend of Vox Machina,Adult Cartoon,-,-,48,X,-,Prime
Avatar Aang,Adult Cartoon,-,-,61,-,X,Netflix
91 Days,ERA DORADA,785,7.82,12,-,X,X
Afro Samurai,ERA DORADA,407,7.36,8,-,-,X - Crunchyroll Anime USA Solo Ingles
Ahiru no Sora,ERA DORADA,213,7.26,50,-,-,Netflix
Air Gear,ERA DORADA,370,7.48,28,-,-,X
Ajin,ERA DORADA,621,7.46,26,-,-,Netflix
Akagi,ERA DORADA,113,7.92,26,-,-,Crunchyroll
Akatsuki no Yona,ERA DORADA,929,8.04,24,X,-,Crunchyroll TV Descargar OVA
Akudama Drive,ERA DORADA,485,7.57,12,-,X,Crunchyroll
Alderamin on the Sky,ERA DORADA,346,7.62,13,-,-,Crunchyroll
Aldnoah.Zero,ERA DORADA,535,7.11,24,-,-,Crunchyroll
Angel Beats!,ERA DORADA,2172,8.05,13,-,X,Crunchyroll
Anohana,ERA DORADA,1686,8.29,11,-,X,Crunchyroll TV Descargar Movie
Another,ERA DORADA,1770,7.46,12,-,-,Crunchyroll
Ao Haru Ride,ERA DORADA,1003,7.63,12,-,-,X
Arakawa Under the Bridge,ERA DORADA,371,7.64,26,-,-,X
Aria the Animation,ERA DORADA,176,8.08,62,-,-,X
Arslan Senki,ERA DORADA,395,7.61,33,-,-,X
Ascendance of a Bookworm,ERA DORADA,361,8.03,49,X,-,Crunchyroll TV Descargar OVA
Asobi Asobase,ERA DORADA,529,8.19,12,-,-,Crunchyroll TV Descargar OVA
Astra Lost in Space,ERA DORADA,341,8.07,12,-,-,Crunchyroll
Baby Steps,ERA DORADA,165,7.90,50,-,-,X
Baccano!,ERA DORADA,953,8.35,13,-,-,X
Bakuman.,ERA DORADA,654,8.34,75,-,-,X
Banana Fish,ERA DORADA,943,8.45,24,-,X,Prime
Barakamon,ERA DORADA,708,8.36,12,-,-,Crunchyroll
Basilisk,ERA DORADA,201,7.53,48,-,X,X - Crunchyroll Solo Sub Ingles 1ra temp
Beastars,ERA DORADA,948,7.79,48,-,-,Netflix
Beelzebub,ERA DORADA,628,7.84,60,-,-,X
Beyond the Boundary,ERA DORADA,1228,7.78,16,-,-,X
Black Butler,ERA DORADA,1256,7.91,67,-,-,Crunchyroll TV Descargar Movie
Black Lagoon,ERA DORADA,1088,8.11,29,-,-,X
Blade of the Immortal,ERA DORADA,93,7.44,24,-,-,Netflix o Prime
Blast of Tempest,ERA DORADA,624,7.88,24,-,X,X
Blood+,ERA DORADA,395,7.60,50,-,-,X
Blue Exorcist,ERA DORADA,2028,7.48,73,-,-,Crunchyroll
BNA,ERA DORADA,400,7.34,12,-,-,Netflix
Bokura no,ERA DORADA,201,7.59,24,-,X,X - Crunchyroll Solo Sub Ingles
Bungou Stray Dogs,ERA DORADA,1522,8.24,60,-,-,Crunchyroll
Bunny Girl Senpai,ERA DORADA,1909,8.21,35,X,-,Crunchyroll
Canaan,ERA DORADA,245,7.20,13,-,-,X
Cells at Work Code Black,ERA DORADA,693,7.49,34,-,-,Crunchyroll
Chihayafuru,ERA DORADA,492,8.33,74,-,X,Crunchyroll
Chuunibyou,ERA DORADA,1439,7.63,24,-,-,X
Clannad,ERA DORADA,1487,8.44,49,-,X,X
Classroom of the Elite,ERA DORADA,1419,7.95,54,X,-,Crunchyroll
Claymore,ERA DORADA,717,7.73,26,-,-,X
Cross Game,ERA DORADA,132,8.36,50,-,-,X
D.Gray-man,ERA DORADA,727,7.96,116,-,-,X
Daily Life Immortal King,ERA DORADA,391,7.41,63,-,-,Crunchyroll Solo Chino
Daily Lives High School Boys,ERA DORADA,879,8.23,12,-,-,X
DanMachi,ERA DORADA,1628,7.67,77,-,-,X - Netflix Falta Ultima
Darker than Black,ERA DORADA,994,7.84,41,-,-,X
Darwin's Game,ERA DORADA,608,7.20,11,-,-,Crunchyroll
Deadman Wonderland,ERA DORADA,1302,7.13,12,-,-,Crunchyroll
Death Parade,ERA DORADA,1888,8.11,13,-,-,X
Dennou Coil,ERA DORADA,158,8.02,26,-,-,Netflix
Densetsu no Yuusha,ERA DORADA,320,7.49,24,-,-,X
DEVILMAN crybaby,ERA DORADA,1262,7.74,10,-,X,Netflix
Dorohedoro,ERA DORADA,623,8.04,23,X,-,Crunchyroll
Dororo,ERA DORADA,1345,8.26,24,-,X,Prime
Dragon Ball Super,ERA DORADA,905,7.47,131,X,-,Crunchyroll
Dragon Quest Dai,ERA DORADA,80,7.72,100,-,-,Crunchyroll
Drifters,ERA DORADA,612,7.79,15,-,-,X
Dumbbell Nan Kilo,ERA DORADA,427,7.21,12,-,-,Crunchyroll
Durarara!!,ERA DORADA,1474,8.03,60,-,-,X
Dusk Maiden of Amnesia,ERA DORADA,445,7.81,12,-,X,X
Eden of The East,ERA DORADA,593,7.66,17,-,-,Crunchyroll TV Descargar Movie
Ergo Proxy,ERA DORADA,708,7.90,23,-,-,X
Eyeshield 21,ERA DORADA,194,7.91,145,-,-,X
Fate/Apocrypha,ERA DORADA,509,7.20,25,-,-,X
Fate/Grand Order,ERA DORADA,309,7.67,34,-,-,Crunchyroll TV Descargar Movies
Flying Witch,ERA DORADA,286,7.50,12,-,-,Crunchyroll
Food Wars!,ERA DORADA,1727,7.88,88,-,-,Netflix 1 2 Crunchyroll mas de 3
Free!,ERA DORADA,841,7.59,51,-,-,Crunchyroll TV Descargar OVA Movies
Fruits Basket,ERA DORADA,924,8.49,63,-,X,Crunchyroll
Ga-Rei-Zero,ERA DORADA,252,7.56,12,-,-,Crunchyroll
Gangsta.,ERA DORADA,621,7.42,12,-,-,X
GATE,ERA DORADA,877,7.70,24,X,-,X
Ghost Hound,ERA DORADA,162,7.39,22,-,-,Prime
Ghost Hunt,ERA DORADA,241,7.74,25,-,-,X
Giant Killing,ERA DORADA,74,7.53,26,-,-,X
Girls Last Tour,ERA DORADA,398,8.24,12,-,X,X
Given,ERA DORADA,630,8.15,20,-,-,Crunchyroll
Goblin Slayer,ERA DORADA,1213,7.30,27,-,-,Crunchyroll
Golden Kamuy,ERA DORADA,448,8.17,62,X,-,Crunchyroll
Golden Time,ERA DORADA,1116,7.74,24,-,-,X
Grand Blue,ERA DORADA,891,8.48,25,X,-,Crunchyroll
Great Pretender,ERA DORADA,738,8.19,27,-,-,Netflix
Grimgar,ERA DORADA,800,7.66,12,-,X,Crunchyroll
Guilty Crown,ERA DORADA,1266,7.39,22,-,-,X
Hell Girl,ERA DORADA,382,7.61,84,-,X,X - Crunchyroll Solo Ultima Temp de 4
Hellsing Ultimate,ERA DORADA,999,8.34,10,-,-,X
High School DxD,ERA DORADA,1523,7.35,50,-,-,X - Crunchyroll Falta 1ra y 2da temp
Highschool of the Dead,ERA DORADA,1588,7.06,12,-,-,Prime
Higurashi,ERA DORADA,852,7.57,94,-,X,X - Crunchyroll Solo 2 Ultimas de 5
Hinamatsuri,ERA DORADA,551,8.11,12,-,-,Crunchyroll
Hinomaru Sumo,ERA DORADA,130,7.52,24,-,-,Crunchyroll
Honey and Clover,ERA DORADA,283,8.05,36,-,-,X
Humanity Has Declined,ERA DORADA,200,7.70,12,-,X,X
Hyouka,ERA DORADA,1457,8.05,22,-,-,Crunchyroll
Id:Invaded,ERA DORADA,422,7.81,13,-,-,Crunchyroll
Inuyashiki,ERA DORADA,698,7.63,11,-,-,Crunchyroll
Irregular at Magic High School,ERA DORADA,1133,7.28,55,X,-,Crunchyroll
Jormungand,ERA DORADA,395,7.84,24,-,-,X
K-On!,ERA DORADA,1110,8.08,39,-,-,X
K-Project,ERA DORADA,799,7.49,29,-,-,X
Kabaneri,ERA DORADA,877,7.36,15,-,-,Crunchyroll TV Descargar Movie
Kaguya-sama,ERA DORADA,1891,8.67,40,X,-,Crunchyroll
Kaiji,ERA DORADA,387,8.25,52,-,X,Crunchyroll Netflix
Kakushigoto,ERA DORADA,351,7.96,12,-,-,Crunchyroll
Kamisama Kiss,ERA DORADA,721,8.21,31,-,-,Crunchyroll TV Descargar OVA
Katanagatari,ERA DORADA,590,8.29,12,-,-,X
Keep Your Hands Off Eizouken,ERA DORADA,366,8.13,12,-,-,Crunchyroll
Kekkai Sensen,ERA DORADA,938,7.68,24,-,-,Crunchyroll TV Descargar OVA
Kengan Ashura,ERA DORADA,187,7.66,52,-,-,Netflix
Kenichi,ERA DORADA,322,8.00,61,-,-,Crunchyroll TV Descargar OVA
Kids on the Slope,ERA DORADA,413,8.29,12,-,X,X
Kill la Kill,ERA DORADA,1822,8.03,24,-,-,Crunchyroll
Kimi ni Todoke,ERA DORADA,1047,8.13,52,-,X,Netflix
Kiznaiver,ERA DORADA,792,7.36,12,-,-,Crunchyroll
Knights of Sidonia,ERA DORADA,244,7.64,27,-,-,Crunchyroll TV Descargar OVA
Konosuba,ERA DORADA,2128,8.05,46,X,-,Crunchyroll
Kuroko no Basket,ERA DORADA,1289,8.17,78,-,-,Crunchyroll
Land of the Lustrous,ERA DORADA,512,8.39,12,-,X,X
Las Quintillizas,ERA DORADA,1053,7.78,29,-,X,Crunchyroll
LOGH Die Neue These,ERA DORADA,105,8.15,48,X,X,Crunchyroll
Little Witch Academia,ERA DORADA,704,7.80,25,-,-,Netflix
Log Horizon,ERA DORADA,1170,7.60,62,-,-,Crunchyroll
Lovely Complex,ERA DORADA,644,8.03,24,-,-,Crunchyroll
Lupin Zero,ERA DORADA,77,7.71,79,-,-,X - Zero Crunchy 5 Prime 4 X Prime Crunchy 6 X
Lupin Fujiko Mine,ERA DORADA,69,7.56,28,-,-,X - Crunchyroll Solo Sub Ingles
Made in Abyss,ERA DORADA,1515,8.61,28,X,X,Netflix TV Descargar Movie
Magi,ERA DORADA,1106,8.04,63,-,-,Netflix Crunchyroll
Mahou Shoujo Madoka,ERA DORADA,1381,8.40,15,X,X,X
Maid Sama!,ERA DORADA,1320,7.99,26,-,-,X
March Comes In Like a Lion,ERA DORADA,722,8.64,44,-,X,Crunchyroll
Megalo Box,ERA DORADA,542,8.03,26,-,X,Crunchyroll
Melancholy of Haruhi Suzumiya,ERA DORADA,972,7.63,31,-,-,Crunchyroll TV Descargar Movie
